depth_k,t_s,series
10,65.7,stock_mtp
40,54.6,stock_mtp
130,43.3,stock_mtp
200,32.9,stock_mtp
200,46.16,k30_mtp
200,44.6,k30_fresh
40,56.6,gate_point
